"","ligand","receptor","cell_from_mean_exprs","cell_from","cell_to_mean_exprs","cell_to","comm_type"
"7653","SPON2","ITGB2",8.14349775784753,5,564.890052356021,4,"other"
"7777","TIMP1","CD63",8.94375,6,513.416666666667,8,"other"
"2186","DUSP18","ITGB1",18.7096774193548,3,245.30625,6,"other"
"2537","FASLG","TNFRSF1A",64.2262569832402,1,71.4583333333333,8,"other"
"5234","HLA-G","KLRC1",32.3279569892473,3,141.801047120419,4,"other"
"6281","LRPAP1","LDLR",78.8697916666667,2,58.1047120418848,4,"other"
"5196","HLA-G","KLRC1",57.3333333333333,8,79.8958333333333,2,"other"
"438","ARF1","PLD2",522.9625,6,8.75625,6,"other"
"7014","PLAU","ITGB2",10.65,6,429.940860215054,3,"other"
"1827","COL6A3","ITGA1",17.8333333333333,8,256.730941704036,5,"other"
"6713","MFNG","NOTCH2",126.515695067265,5,36.1704035874439,5,"other"
"195","ADAM17","ITGB1",41.5059523809524,8,110.223463687151,1,"other"
"6265","LRPAP1","LDLR",78.5811518324607,4,58.1047120418848,4,"other"
"2280","EBI3","IL6ST",23.0833333333333,8,197.291666666667,8,"other"
"1741","CALR","ITGAV",259.178010471204,4,17.5625,6,"other"
"6528","LTB","TNFRSF1A",52.4583333333333,8,86.7443946188341,5,"other"
"2850","GNAI2","CCR5",51,4,89.2146596858639,4,"other"
"7937","TNFSF10","TNFRSF10B",117.443946188341,5,38.7321428571429,8,"other"
"5215","HLA-G","KLRC1",50.0224215246637,5,90.8869047619048,7,"other"
"6568","LTB","TNFRSF1A",52.3978494623656,3,86.7443946188341,5,"other"
"3300","GNAS","CRHR1",454.382681564246,1,10,7,"other"
"6726","MFNG","NOTCH2",82.6451612903226,3,54.9642857142857,8,"other"
